year,type,sentence1,sentence2,similarity_score
2016,answer-answer,Some of what you can do:,Not much you can do besides:,1
2016,answer-answer,This is not a good idea.,But it is not a good idea.,5
2016,answer-answer,"The answers so far are already good, but I'd like to add a map for Switzerland:","You have a lot of answers already, but I'd like to add Curries as another solutions.",0
2016,answer-answer,I was in a similar situation.,I had a similar situation.,5
2016,answer-answer,I've had this same problem.,I had this same problem.,5
2016,answer-answer,There is no maximum.,There is no quarantine period.,0
2016,answer-answer,I am not sure this is the right site for the question.,I am not sure this question would have made much sense to the Romans themselves.,2
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.","In other words, it depends on where you go, when you do there and how.",4
2016,answer-answer,You need to read a lot to know what you like and what you don't.,"Yes, you should create a portfolio site to showcase what you can do and what you've done.",0
2016,answer-answer,You are not disclosing key info.,No you are not.,2
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.",I guess it depends on what you're going to do.,3
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.",It is his job to see that you have what you need to do your job.,0
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.",It depends on what you want to achieve.,3
2016,answer-answer,This is a problem that the professor has to deal with.,This is a big problem.,1
2016,answer-answer,This is a very unusual request.,This sounds a bit unusual.,3
2016,answer-answer,It very much depends on the grant in question.,I think it depends very much on the area.,2
2016,answer-answer,I have the same thing.,I have had the same problem.,4
2016,answer-answer,No it does not affect your ratings.,No it is not.,0
2016,answer-answer,"My answer to your question is ""Probably Not"".",I think that the short  answer to your question is: No.,4
2016,answer-answer,I don't think it makes any tremendous difference.,I don't think it makes much difference.,4
2016,answer-answer,It depends on what they are.,"It depends on what they are evaluating, and how.",2
2016,answer-answer,There's not a lot you can do about that.,There's not that much that you can do with a sourdough starter.,2
2016,answer-answer,You answered your own question.,You have answered your own question.,5
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.",Th answer to you problem is that you dont actually know what you're getting in .,2
2016,answer-answer,This is not a good idea.,This is probably not a good idea but I will suggest it anyhow.,2
2016,answer-answer,The best thing you can do is to know your stuff.,"My recommendation is not to say anything, and do the best you can.",0
2016,answer-answer,I'd say it primarily depends on two things:,I'd say it depends what conditions you have.,2
2016,answer-answer,You don't have to know.,You don't have to do anything to season it.,0
2016,answer-answer,I have the same thing.,I have the same situation and have traveled extensively.,2
2016,answer-answer,It's not a good idea.,I do not think it's a good idea.,4
2016,answer-answer,You are on the right path.,You are right on the mark.,4
2016,answer-answer,"This doesn't answer your question, but:",This is a part answer to your question,1
2016,answer-answer,How should I proceed about this?,So how should I do this?,4
2016,answer-answer,Does this page answer your question?,Does this answer your questions?,4
2016,answer-answer,"You can use it, too.",You can still use it for practice.,2
2016,answer-answer,It really depends on how the employer documents it.,It depends how you're stating it.,2
2016,answer-answer,I've had this same problem.,I've had this problem while working in a pubs.,2
2016,answer-answer,You need to read a lot to know what you like and what you don't.,You should tell a good story and sometimes you have to tweak reality/history to do so.,0
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.",It depends on what you want to be able to do.,3
2016,answer-answer,"Yes, you have to file a tax return in Canada.",You are not required to file a tax return in Canada if you have no taxable income.,1
2016,answer-answer,I don't see why there should be any problem with this whatsoever.,I don't see why that should be a problem.,5
2016,answer-answer,Hope this is what you are looking for.,"If what you are looking for is much higher, they get the picture.",1
2016,answer-answer,The best thing you can do is to know your stuff.,The best thing to do is to overcome the fussiness.,0
2016,answer-answer,It depends on the dish and how amenable it is at the stage you make the mistake.,It depends on the sauce and the result you want.,2
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.",You have to do what is right for you.,2
2016,answer-answer,You PROBABLY don't have any chance at the moment.,"Saying ""thanks, I don't have any questions at the moment.""",0
2016,answer-answer,It really doesn't matter.,It doesn't matter unless it is really far off.,3
2016,answer-answer,You don't need to know everything.,You don't have to know.,3
2016,answer-answer,I think you're looking for Mikey (1992).,I think you're looking for the movie,3
2016,answer-answer,It makes absolutely NO difference.,"No, it makes no difference.",5
2016,answer-answer,I think it's fine to ask this question.,I think it is okay to ask the question.,5
2016,answer-answer,I'm going to be very direct here.,"I'm going to be blunt, here: You don't.",4
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.","Yes, you can do exactly what you want to do.",1
2016,answer-answer,You should do it.,You should prime it first.,0
2016,answer-answer,There's not a lot you can do about that.,I'm afraid there's not really a lot you can do.,5
2016,answer-answer,What kind of insulation is it?,What kind of floors are above?,0
2016,answer-answer,It depends entirely on your company and your contract.,I guess it depends on the nature of your contract.,4
2016,answer-answer,You answered your own question.,You've answered your own question already.,5
2016,answer-answer,I don't think that there's any.,I don't think there is any universal term.,3
2016,answer-answer,There are a few things you can do: ,There are a few minimally-effective things you can do at the personal level.,3
2016,answer-answer,This is the tip I find most useful:,Something like this is useful:  ,3
2016,answer-answer,That's what I believe.,"Yes, I believe it's a good idea.",2
2016,answer-answer,"If you are not sure how to do it, don't do it at all.","If not, don't do that and spend that time with something you like to do.",1
2016,answer-answer,It's all in her head.,It's all about adhesion.,0
2016,answer-answer,"If you are not sure how to do it, don't do it at all.","If you do not have a very strong scientific reason to do it, don't.",2
2016,answer-answer,You need to read a lot to know what you like and what you don't.,You have to know what you want to do.,0
2016,answer-answer,"I would say you can do it, but it wouldn't be advised.","Personally, I would say not unless it suits you.",2
2016,answer-answer,Can you do this?,Can you do it?,5
2016,answer-answer,"Sure, I've  done this very trip.",I've done this many dozens of times.,3
2016,answer-answer,"You can use it, too.","You can do it, too.",3
2016,answer-answer,How do you do that?,How to do that?,5
2016,answer-answer,I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/,I found some link that might be of help to you:,3
2016,answer-answer,"I would say you can do it, but it wouldn't be advised.","I would say it is impossible to know, so don't risk it.",2
2016,answer-answer,Unfortunately the answer to your question is we simply do not know.,The answer to your question is not really.,1
2016,answer-answer,"If you are not sure how to do it, don't do it at all.","You don't, it will not work.",1
2016,answer-answer,It's also a matter of taste.,It's definitely just a matter of preference.,5
2016,answer-answer,It's not a good idea.,It's a good idea to do both.,1
2016,answer-answer,This answer is based on my experience teaching undergraduate math in the US.,This answer is based on experience I did not researched for references.,2
2016,answer-answer,There are a few things I think you should do.,There are quite a few things you would need to do;,4
2016,answer-answer,You will want to clean the area first.,You will also want to remove the seeds.,0
2016,answer-answer,It depends on what you want to have in your tank.,It depends on what you want to achieve.,2
2016,answer-answer,There are a couple of options that you could consider:,There are a lot of ways that could go poorly for you.,1
2016,answer-answer,You don't have to worry.,"Since you have one ticket, you don't have to worry.",3
2016,answer-answer,Vietnamese citizens need a visa to visit the USA.,Nepalese citizens require a visa to visit the UK.,1
2016,answer-answer,It depends on how it's used.,It depends on how long it's been out.,1
2016,answer-answer,I don't see why there should be any problem with this whatsoever.,I don't see why this could be a problem.,5
2016,answer-answer,There's not a lot you can do about that.,I really do not think there is much you can do about that.,5
2016,answer-answer,You got it right.,Yes you got it.,5
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.","Remember this is your degree we are talking about, its up to you what you want to do.",0
2016,answer-answer,How do you do that?,How should you do that?,4
2016,answer-answer,I was in a similar situation.,I am in a similar situation.,4
2016,answer-answer,What is your lid made of?,What is your paper for?,0
2016,answer-answer,You don't need any visa.,You don't need sauce at all.,0
2016,answer-answer,"That is your problem, not your supervisor's.",Work with your supervisor and your team to solve the problem.,2
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.",It's up to you what you want to do next.,4
2016,answer-answer,There are two things to consider:,A couple things to consider:,5
2016,answer-answer,It depends entirely on your company and your contract.,It depends on your company.,3
2016,answer-answer,"The wood probably isn't rotten, it's just worn out.",It's just worn out and not safe.,3
2016,answer-answer,"Well, I wouldn't put it on my cv.",I wouldn't put this job on my resume.,4
2016,answer-answer,This is a great one... ,This is a difficult one.,1
2016,answer-answer,The answer to both questions is: Yes.,To directly answer the two questions in your title.,0
2016,answer-answer,"Yes, there is a reason to not do what you propose.","Valid reasons to feel the way you do, but not a reason to resign.",2
2016,answer-answer,I think it is depends on the program.,It depends on how the term is used I think.,2
2016,answer-answer,Can you do this?,"So, CAN you do this?",5
2016,answer-answer,I think there isn't a general answer.,I don't think there is an answer for this.,4
2016,answer-answer,There are a few things you can do: ,There are a couple things you can try.,5
2016,answer-answer,"The key is you have to find something that works for you, and your goals.","You may want it, but the process given to you is what you have to work within.",1
2016,answer-answer,You don't have to know.,You don't have equipments/facilities to do research in B.,0
2016,answer-answer,I think you've pretty much done your review.,You've pretty much answered your own question.,2
2016,answer-answer,There are a few things I think you should do.,There are a few things I don't understand:,0
2016,answer-answer,You burn more Calories digesting protein than you do carbohydrates and fat.,"The more you sweat, the faster you will burn calories and fat.",2
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.",It depends on what you want to say/imply.,1
2016,answer-answer,You got it right.,You've got it right.,5
2016,answer-answer,You answered your own question.,You pretty much answered your own question.,5
2016,answer-answer,I have the same thing.,I had the same problem as you.,3
2016,answer-answer,"Yes, there is a chemical difference.","Yes, there is a reason for it.",0
2016,answer-answer,"They can be out of level by a bit, but flat is important.","Yes, although they can be a bit sour.",0
2016,answer-answer,I would look at this: U.S.,I would look at this way: ,2
2016,answer-answer,You are on the right path.,You're on the right path.,5
2016,answer-answer,"If you haven't, you should.","You should, but you don't have to.",1
2016,answer-answer,Yes it is common!,The simple answer is yes!,3
2016,answer-answer,I don't think that there's any.,I don't think there are any benefits.,3
2016,answer-answer,It looks to me that this is set up for what you want:,It is up to you whether you want to do that.,2
2016,answer-answer,"Problem is, the system doesn't account for people who could care less about money, or title.",The Joker doesn't care about money.,1
2016,answer-answer,"In the first case, I think you don't need it.",So I don't think you need to put it on the cover.,1
2016,answer-answer,It is impossible to answer this question without a form check.,"It is difficult, if not impossible, to give a complete answer to this question.",2
2016,answer-answer,You need to add this to your resume because it is the only position you have had.,This gives you the opportunity to make your case that you really do have expertise in XXX.,2
2016,answer-answer,Work into it slowly.,You work on it slowly.,4
2016,answer-answer,"No, you do not NEED a bread machine.",You do not need to worry.,0
2016,answer-answer,"Yes, it is possible to publish a paper on model analysis.","Yes, it is hard to publish in a peer reviewed journal.",1
2016,answer-answer,"You just have to base your answer on what you do know, which is what you want.","So if that's what you need, you really do have to be explicit about it.",1
2016,answer-answer,"Yes, you should mention your experience.","Yes, you should make a résumé.",2
2016,answer-answer,I think it is great that you had a test conducted.,I think that's a great plan.,2
2016,answer-answer,You don't have to know.,Other than that you don't have a tax issue.,0
2016,answer-answer,"Yes, there is a rule against this.",There's no rule against it.,1
2016,answer-answer,What are your goals?,What are you goals?,5
2016,answer-answer,I'm going to go out on a limb here...,I'm going to be very direct here.,2
2016,answer-answer,"If your long stay visa for Switzerland is valid, then you will not need a transit visa.","You do not need a transit visa, but to enter Zurich you will need a visa.",2
2016,answer-answer,A few more point to think about:,A few things to think about:,5
2016,answer-answer,Now you don't have to be perfect on every answer.,You don't have to know.,2
2016,answer-answer,I'm afraid we are out of luck in this one.,I think this is one of those things where you are just out of luck.,5
2016,answer-answer,It is more deciding what you should do and what you should get others to do.,Point is: know what you want and don't be afraid to ask for it.,0
2016,answer-answer,It varies by the situation.,This varies by institution.,4
2016,answer-answer,I have the same thing.,I have the same problem.,4
2016,answer-answer,I have the same thing.,I have the exact same problem.,4
2016,answer-answer,You are on the right path.,You're right on about the sample definition.,0
2016,answer-answer,Primer/paint will not work.,Nope that will not work.,2
2016,answer-answer,The best thing you can do is to know your stuff.,The best thing you can do is find something else interesting to do while you wait on hold.,2
2016,answer-answer,It's also a matter of taste.,It's mostly a matter of taste.,5
2016,answer-answer,I was in a similar situation.,Personally when I was in a similar situation I sent the couple a card and a gift.,2
2016,answer-answer,"You can use it, too.","Yes, you can do it.",3
2016,answer-answer,You have to decide what you want to get out of this.,You have to find out what works for you.,4
2016,answer-answer,It depends on what they are.,It depends on how it's used.,1
2016,answer-answer,I had the same problem as you.,I have just had the same problem.,5
2016,answer-answer,Sometime if you really want it you might need to pay an agency to get the place for you.,You could probably get a tour agency to do it for you but it would cost you.,2
2016,answer-answer,You don't need to know everything.,They just don't want you to know it.,1
2016,answer-answer,Also it is useful to keep the consistency in your story.,It is important to keep the story in the scope of your limit.,2
2016,answer-answer,I think it's just a habit.,I think it's a bad idea.,1
2016,answer-answer,It's not a good idea.,"No, it's not a good thing.",4
2016,answer-answer,I'm thinking it's a bad idea. ,I think it's a bad idea.,5
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.",You need to pick how and where you want to place your foot and do it.,1
2016,answer-answer,You have a problem.,This is a big problem.,4
2016,answer-answer,Unfortunately the answer to your question is we simply do not know.,"If the conversation is not about work, you know what the answer is to your own question.",2
2016,answer-answer,"Unfortunately, this question cannot be answered in its full generality.",This cannot be answered in general.,4
2016,answer-answer,I would personally beware of the Motley Fool.,I would recommend looking at The Motley Fool.,2
2016,answer-answer,I think there isn't a general answer.,I don't think there is a single definition.,4
2016,answer-answer,It's not a good idea.,Not a good idea.,5
2016,answer-answer,You don't need any visa.,You don't have to worry.,0
2016,answer-answer,You have to decide what you want to get out of this.,You're probably going to have to read various blogs to get all the information you want.,0
2016,answer-answer,I had the same problem as you.,I have exactly the same problem.,5
2016,answer-answer,"My answer to your question is ""Probably Not"".",The answer to your question is not really.,4
2016,answer-answer,You should do it.,You should never do it.,1
2016,answer-answer,I had the same problem as you.,I had the same issue.,4
2016,answer-answer,Hope this is what you are looking for.,Is this the kind of thing you're looking for ?,4
2016,answer-answer,There are two things to consider:,I think there are two important things to consider:,5
2016,answer-answer,It's pretty much up to you.,It is up to you.,5
2016,answer-answer,There are a few things you can do: ,There are a few things you need to consider:,4
2016,answer-answer,The answer to this and all such similar questions is in two stages:,The answer to both questions is: Yes.,1
2016,answer-answer,It is impossible to answer this question without a form check.,This is a part answer to your question,0
2016,answer-answer,There are a few things you can do: ,There are a few things I think you should do.,3
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.",It depends on what and where you are going to do.,4
2016,answer-answer,There are a few possible reasons.,There are a few reasons that paint wrinkles.,3
2016,answer-answer,There are three options:,There are only three options:,5
2016,answer-answer,So think it in this way.,Think of it this way.,5
2016,answer-answer,Maybe this could work for you.,Maybe this can work for you.,5
2016,answer-answer,"It depends on what you want to do next, and where you want to do it.","They can, but the way to do it depends on what you have available.",1
2016,answer-answer,Microwave would be your best bet.,Your best bet is research.,0
2016,answer-answer,"In the US, it will depend on the school.",This will depend on the university.,4
2016,answer-answer,It's not a good idea.,"It's not just a good idea, it's an excellent idea.",1
2016,answer-answer,There are a few things I think you should do.,There are a few minimally-effective things you can do at the personal level.,4
2016,answer-answer,I've had this same problem.,I had this same situation.,3
2016,answer-answer,This is not a good idea.,Not a good idea.,5
2016,answer-answer,I realized there is already an accepted answer but I figure I would add my 2 cents.,I know this is an old question but I feel I should add my 2 cents.,5
2016,answer-answer,"Yes, there is a reason to not do what you propose.","Yes, there is a chemical difference.",0
2016,answer-answer,"Yes, there is at least one to my knowledge.","To my knowledge, there's no time requirement.",1
2016,answer-answer,You don't have to worry.,You don't have to do anything to season it.,0
2016,answer-answer,There is no test that can tell you if it is sealed or not.,There is no code telling you that you cannot do this.,0
2016,answer-answer,"Yes, you should make a résumé.","Yes, you should talk to your professor.",0
2016,answer-answer,You shouldn't feel any obligation at all.,You don't need sauce at all.,0
2016,answer-answer,I've had this same problem.,I had this problem before.,4
2016,answer-answer,You may have to experiment and find what you like.,You have to find out what works for you.,5
2016,answer-answer,"My answer to your question is ""Probably Not"".",This is a part answer to your question,1
2016,answer-answer,The key thing to realize here is that it's not your job to make people do their work.,It really isn't your problem how they are going to find a qualified person to do the job.,1
2016,answer-answer,"Not a direct answer to the question, but something to consider.","Not a real answer to your question, but maybe it helps.",4
2016,answer-answer,There are two possible causes for this:,There are two options for you - ,1
2016,answer-answer,I agree with the other comments.,I agree with the previous comments.,5
2016,answer-answer,The answer to both questions is: Yes.,"If the answer to any of these questions is yes, a PhD may be worthwhile for you.",3
2016,answer-answer,It rather depends on which country you're in.,That depends on which country you are in.,5
2016,answer-answer,This is a terrible idea.,This is a bad idea.,5
2016,plagiarism,Vector space representation results in the loss of the order which the terms are in the document.,"If a term occurs in the document, the value will be non-zero in the vector.",1
2016,plagiarism,Inheritance in object oriented programming is a way to form new classes using classes that have already been defined.,The peropos of inheritance in object oriented programming is to minimize the reuse of existing code without modification.,1
2016,plagiarism,"To explain further vector space models, basically a document is characterized by a vector.",A document is represented as a vector.,5
2016,plagiarism,Bayes’ theorem was names after Rev Thomas Bayes and is a method used in probability theory.,"As an official theorem, Bayes' theorem is valid in all universal interpretations of probability.",3
2016,plagiarism,If a term appears in the document then its value in the vector is non-zero.,A document is represented as a vector and each dimension corresponds to a separate term.,2
2016,plagiarism,"• P(A|B) is the conditional probability of A, given B.",• P(B|A) is the conditional probability of B given A.,3
2016,plagiarism,The differing application has a direct influence on what the definition of the term means.,The way that a 'term' is defined depends on the application.,5
2016,plagiarism,"Thus, the ""program"" is the optimal plan of action that is being produced.","Thus, the ""program"" is the optimal plan for action that is produced.",5
2016,plagiarism,"Thus, the ""program"" is the optimal plan for action that is produced.","Therefore, the ""program"" is the optimal plan for action that is produced.",5
2016,plagiarism,One of the best known schemes is tf-idf weighting (see the example below).,One of the best known methods is called tf-idf weighting.,4
2016,plagiarism,"It is ""previous"" in the sense that it does not take into account any information about B.",It does not take into account any information about B and therefore is considered “prior”.,3
2016,plagiarism,The algebraic model for representing text documents and objects as vectors of identifiers is called the vector space model.,A possible use for a vector space model is for retrieval and filtering of information.,1
2016,plagiarism,Secondly to define the value of the optimal solution recursively.,Generalise the structure of an optimal solution 2.,1
2016,plagiarism,There are two main approaches for dynamic programming.,There are four steps in Dynamic Programming: 1.,1
2016,plagiarism,"P(A), or the probability that the student is a girl regardless of any other information.",It is mainly used to calculate the probability of one event’s outcome given that a previous event happened.,1
2016,plagiarism,"For instance, a events schedule at an exhibition is sometimes called a program.","For instance, a finalized schedule of events at an exhibition is sometimes called a program.",4
2016,plagiarism,This can be useful when the number of times a word appears is not considered important.,One of the most important uses of page rank is its meaning to advertising.,0
2016,plagiarism,Define value of optimal solution recursively.,Characterise structure of an optimal solution.,4
2016,plagiarism,It was first used in the SMART Information Retrieval System.,It is used in information retrieval and was first used in the SMART Information Retrieval System.,4
2016,plagiarism,"In vector space model, the documents from which the information is to be retrieved are represented as vectors.",The vector space model has several disadvantages.,1
2016,plagiarism,A term which occurs in the document has a value in the vector of non-zero.,The order in which the terms appear in the document is lost in the vector space representation.,1
2016,plagiarism,Vector space representation results in the loss of the order which the terms are in the document.,In the vector space model a document is represented as a vector.,1
2016,plagiarism,The easiest way to look at inheritance is as an “…is a kind of” relationship.,An example of this gain in efficiency is a path-finding problem.,0
2016,plagiarism,"If a term exists in a document, its value in the vector is not equal to zero.","A document is represented as a vector, with each dimension corresponding to a separate term.",2
2016,plagiarism,Vector space representation results in the loss of the order which the terms are in the document.,Since the PageRank is the most important algorithms which is used in the Google engine.,0
2016,plagiarism,"A document is represented as a vector, with each dimension corresponding to a separate term.",The basic idea is to represent each document as a vector of certain weighted word frequencies.,2
2016,plagiarism,"Thus, the ""program"" is the optimal plan for action that is produced.","After this, it is using this to pick the best overall path.",0
2016,plagiarism,A document is represented as a vector.,The vector space model are the documents which are represented as “bags of words”.,2
2016,plagiarism,The value of a vector is non-zero if a term occurs in the document.,A term which occurs in the document has a value in the vector of non-zero.,4
2016,plagiarism,A page that is linked to by many pages with high PageRank receives a high rank itself.,A link to a page is seen as a vote of support.,1
2016,plagiarism,"Several different ways of computing these values, also known as (term) weights, have been developed.","Other ways of computing these values, or weights, have been developed.",4
2016,plagiarism,"A document is represented as a vector, with each dimension corresponding to a separate term.",The value of a vector is non-zero if a term occurs in the document.,2
2016,plagiarism,P(B) (a.k.a. the normalizing constant) is the prior or marginal probability of B.,"P(B) is the prior or marginal probability of B, and acts as a normalizing constant.",5
2016,plagiarism,"The PageRank is computed iteratively, and it is found that the PageRank values converge fairly rapidly.",The PageRank depends on the PageRank rating and number of all pages that have links to it.,1
2016,plagiarism,"In general, we can solve a problem with optimal substructure using a three-step process: 1.","In a word, we can solve a problem with optimal substructure using a three-step process.",5
2016,plagiarism,In the vector space model a document is represented as a vector.,A possible use for a vector space model is for retrieval and filtering of information.,1
2016,plagiarism,One of its uses is calculating posterior probabilities given observations.,It is usually used to calculate posterior probabilities given observations.,5
2016,plagiarism,"If a term appears in the document, the terms value in the vector is non-zero.",Each item in the vector represents a different keyword.,1
2016,plagiarism,"Finally, the order in which the terms appear in the document is lost in the vector space representation.",A term which occurs in the document has a value in the vector of non-zero.,1
2016,plagiarism,"Several different ways of computing these values, also known as (term) weights, have been developed.","Many different ways of calculating these values, also known as (term) weights, have been developed.",4
2016,plagiarism,"To derive the theorem, we begin with the definition of conditional probability.","In probability theory, the prior and conditional probabilities of two random events are related by Bayes' theorem.",2
2016,plagiarism,The way that a 'term' is defined depends on the application.,The definition of term is dependent on the application.,5
2016,plagiarism,Its first application was in the SMART Information Retrieval System.,It was used in the first time in the SMART Information Retrieval System.,5
2016,plagiarism,"It doesn't take into account any information about B, so it is ""prior"".",However an object cannot be cast to a class which is no relative of it.,0
2016,plagiarism,"Following this, each web page is given a ranking of 0-10 according to its relevance to a search.",A variation of the PageRank method bases the importance of a webpage on how many visits the page gets.,1
2016,plagiarism,"Thus, the program is the best plan for action that is produced.","Thus, the ""program"" is the optimal plan of action that is being produced.",5
2016,plagiarism,This means that inheritance is used when types have common factors and these would be put into the superclass.,They do not have to be written in a computer language.,0
2016,plagiarism,"These subproblems are not, however, independent.","It is similar to divide and conquer, however is differentiated as its subproblems are not independent.",4
2016,plagiarism,The key to Dynamic Programming is to find the structure of optimal solutions.,"In general, dynamic programming is used on optimisation problems, where the most efficient solution is needed.",4
2016,plagiarism,"When a document is represented as a vector, each dimension corresponds to a separate term.",Each dimensions corresponds to a separate terms.,3
2016,plagiarism,Bayes Theorem is a mathematical formula used to calculate conditional probabilities.,Bayes' theorem relates the conditional and marginal probabilities of two random events.,4
2016,plagiarism,Lucky Joe likes to predict the colour of the ball he selects and he is 80% accurate.,Joe records all of his results and about 0.5% of the time he accidently records the wrong results.,1
2016,plagiarism,"Thus, the program is the best plan for action that is produced.",The other method is the top down approach which is a method that combines memorization and recursion.,0
2016,plagiarism,It is usually used to calculate posterior probabilities given observations.,It is usually be used to compute posterior probabilities given observations.,5
2016,plagiarism,The methodology takes much less time rather than naive methods.,The method takes much less time than naive methods.,5
2016,plagiarism,The methodology takes much less time rather than naive methods.,This is a much quicker method than other more naive methods.,5
2016,plagiarism,The definition of term is dependent on the application.,The definition of term depends on the application.,5
2016,plagiarism,This means that inheritance is used when types have common factors and these would be put into the superclass.,"It is similar to divide and conquer, however is differentiated as its subproblems are not independent.",0
2016,plagiarism,Characterise structure of an optimal solution.,Use these optimal solutions to construct an optimal solution for the original problem.,2
2016,plagiarism,The theorem is often used when we have observations and wish to compute posterior probabilities.,It is usually used to calculate posterior probabilities given observations.,3
2016,plagiarism,"Occasionally it is advantageous to differentiate between these uses, as it is not necessarily noticeable from context.","It also provides a way to generalize du to the ""is a"" relationship between classes.",0
2016,plagiarism,Construct an optimal solution from computed values.,Define value of optimal solution recursively.,4
2016,plagiarism,"Occasionally it is advantageous to differentiate between these uses, as it is not necessarily noticeable from context.","It is similar to divide and conquer, however is differentiated as its subproblems are not independent.",0
2016,plagiarism,"When a document is represented as a vector, each dimension corresponds to a separate term.",The basic idea is to represent each document as a vector of certain weighted word frequencies.,2
2016,plagiarism,"When a document is represented as a vector, each dimension corresponds to a separate term.",Each dimension corresponds to a separate term.,3
2016,plagiarism,Mathematicians use the word to describe a set of rules which anyone can follow to solve a problem.,However an object cannot be cast to a class which is no relative of it.,0
2016,plagiarism,Whilst Bayesians describe probabilities in terms of beliefs and degrees of uncertainty.,"At the same time, Bayesians describe probabilities in terms of beliefs and degrees of uncertainty.",5
2016,plagiarism,"It is used in information filtering, information retrieval, indexing and relevancy rankings.","It is used in information filtering, indexing, relevancy rankings and information retrieval.",5
