year,type,sentence1,sentence2,similarity_score
2012,surprise.OnWN,"the rescue or release of someone, something",recovery or preservation from loss or danger.,2.2
2015,belief,the jury verdict must stand.,the airport seems safe.,
2015,belief,"the bomber detonated his explosives, killing naeemi and two others, police said.",take away their method of making money and they lose their power.,
2012,MSRvid,A man is levitating.,A man is talking.,0.8
2013,headlines,Israel to free Palestinian hunger striker,Israel asks US for arms that could aid Iran strike,0.8
2015,headlines,"2 killed, multiple wounded in Miami shooting","Three killed, five wounded in Myrtle Beach shootings",
2012,MSRvid,Someone fell off a horse.,A man gets knocked off of a horse.,3.5
2015,answers-students,because bulbs a and b have their own closed paths,bulbs A and B are in a closed path,
2012,surprise.SMTnews,The questions are many.,There are many questions.  ,4.75
2014,headlines,Tens of Thousands of Ukrainians Protest in Kyiv,Tens of thousands line up to cast votes in Bhutan,0.6
2015,answers-students,terminals 1 and 2 are seperated by a gap,Terminals 1 and 2 are in the same electrical state,
2012,SMTeuroparl,It increases the power of the big countries at the expense of the small countries.,"It has the effect of increasing the power of the large countries, to the detriment of the small ones.",4.75
2012,MSRpar,"The Food and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research.","The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.",2.8
2012,MSRvid,A man plays a trumpet.,A man is playing the trumpet.,5
2015,belief,"the fact that you indicated they are not open monday tells me this is a ground/home delivery shipment - express delivers seven days a week, altho there are surcharges for weekend deliveries.","they cheat in elections, they lie about nearly everything and hate everyone who varies even a little bit from what they already have cemented in their brain cases.",
2016,postediting,"The fact that Google is a base for genetic data can give a good raw material for the next generation of science-fiction. The famous novel by Cory Doctorow, writes with half orwellien tones , describing the future in which a man could be approached only through data from Google.","The fact that Google is a genetic data can give a good raw material for the next generation of science-fiction. The novel Cory Doctorow of the famous, writing with half-tone orwelliens, described the future in which a man could be approached so outrageous only through data from Google.",5
2015,answers-students,the two terminals will both be 0,The terminals are in the same state.,3.6
2015,answers-forums,You definitely do NOT want to be supporting your weight with your arms on the bike for normal riding.,"No, don't support your weight on your arms Your hands simply aren't really made for supporting all that weight.",4.2
2014,headlines,Egypt's main opposition rejects president's call for dialogue,Egypt opposition mulls response to Morsi dialogue call,3.8
2014,OnWN,"the United States, especially the North during the Civil War",the United States (especially the northern states during the American Civil War).,4.6
2015,belief,"people still care about what happened, i do.",people get dizzy just watching you.,
2012,surprise.OnWN,Fix (something old) with a new part, improve.,piece (something old) with a new part.
2015,headlines,Police helicopter crashes into pub in Glasgow - several casualties,Helicopter crashes into roof of Glasgow club,4
2012,surprise.OnWN,Put up with something or someone          unpleasant, show deference towards someone or some authority.,put up with something or somebody unpleasant.
2012,surprise.SMTnews,None of this absolves rich countries of their responsibility to help.,"That does not, however, the rich countries of their obligation to help.  ",4.25
2014,tweet-news,NYTimes: Victory for Anthony and for Knicks,Win for Anthony and for Knicks,4.8
2014,OnWN,the act of putting something to use.,the act of testing something.,1.9
2012,SMTeuroparl,The vote will take place today at 5.30 p.m.,The vote will take place at 17h30.,5
2015,images,Children jumping on a trampoline.,A man is sledding on an orange slide.,0
2015,answers-forums,The light will eventually reach galaxy B even though the space between them is expanding.,To answer your question: The speed of light is relative to the metric of the space itself.,
2015,answers-forums,"""God is exactly this Substance underlying who supports, exist independently of, and persist through time changes in material nature.",I'd argue that matter and energy are substances in the category of empirical scientific knowledge.,
2015,answers-forums,My first thought would be that you are holding your breath.,"Any time you exert yourself using strength, your heart will respond by pushing blood with more force.",
2015,answers-students,It will locate the gap.,A non-zero voltage means that the terminals are not connected.,0.2
2014,headlines,Angelina Jolie's aunt dies of breast cancer,Angelina Jolie and the complex truth about breast cancer ,2.8
2015,answers-students,terminal one is connected to a positive battery terminal,Terminal 1 and the positive terminal are separated by the gap,2.17
2012,MSRvid,A woman is resting in a floating raft.,A woman relaxes in an inner tube.,3.8
2015,answers-students,positive is seperated from negative!,Terminal 3 and the positive terminal are not connected,
2015,belief,the link would have provided you with another aid too...,and tbh - once you do have kids - you will feel even more trapped.,
2016,headlines,Goa building collapse death toll touches 15,Indian building collapse deaths rise to 14,3
2012,MSRpar,"Additionally, the h2210’s cradle has room to charge a second battery.",The cradle for the h2200 has space for recharging a second battery.,4.75
2012,MSRvid,Two zebras are playing.,Zebras are socializing.,4.25
2012,surprise.SMTnews,"Western Europeans, who have been spared this legacy, should heed our warnings.","Western Europeans, who have forgotten this history, should heed our warnings.",4.75
2015,answers-forums,The basic effect can be accounted for by connectionist models.,"SVM training is typically done in a batch processing, and thus the order of data presentation doesn't matter.",
2012,surprise.SMTnews,The Political Stock Market,The politization of the markets of the transferable securities,2.25
2012,SMTeuroparl,"If we want to help Indonesia we must act now with money and deeds, not merely words.","If we want to help Indonesia, we must intervene now with money and actions, and not just with words.",5
2014,headlines,Yemen suicide bombing kills soldiers,Female suicide bomber kills 16 at Russian station,2
2015,answers-students,bulbs b and c are contained in the same path,B and C are in the same path,
2015,belief,the founding fathers understood that there would be inequality.,then i found others that countered what she said.,
2015,images,A man in swimming trunks is standing against some rocks.,A man in a gray shirt climbs a large rock wall.,1
2015,belief,i wouldn't be asking for anything in return but the chance to improve life for others.,why don't you start dealing with the facts before you try lecturing others.,
2012,surprise.OnWN,an allotment or percentage of something,assets belonging to or due to or contributed by an individual person or group.,0.75
2012,MSRpar,"The operating revenues were $1.45 billion, an increase over last year's result of $1.38 billion.",Operating revenues rose to $1.45 billion from $1.38 billion last year.,5
2012,SMTeuroparl,That provision could open the door wide to arbitrariness.,This Regulation opens the door to the arbitrary.,4.5
2015,answers-forums,It's an adjective in the sense that it modifies the meaning of the noun it applies to.,There might be a context where the definite article 'the' is used as an adjective.,
2015,belief,we have shed thousands of lives in iraq and afghanistan and what have we accomplished?,he has texted the house phone last night and all the kids.,
2015,answers-students,the terminals were connected to the positive terminals of the battery,Terminal 1 and the positive terminal are separated by the gap,
2015,belief,british ideas and industry to places of no hope.,"blaming politicians, pundits and internet speech is not the answer here.",
2015,answers-forums,"Newspeak, a ""deliberately impoverished"" language designed to prevent people from communicating and thinking about subversive ideas.",Every language is permeated by the cultural values in which it is immersed.,1
2014,deft-forum,"Umm, that pretty clearly states, ""the statute is presumed constitutional.""","And until they decide that, ""the statute is presumed constitutional.""",2.6
2012,MSRvid,An orangutan is riding a bus.,A monkey is riding on a bus.,3.6
2015,answers-students,bulb c is not on the same path as bulb a or bulb b,Bulb C is in a separate path,
2012,SMTeuroparl,"Therefore, I also believe that this reconciliation is sustainable, but that the government, which has very courageously found a solution to the university issue and to many other issues, needs visible signs of its success, and powerful support, else peace throughout the region will be under threat.","That is why I also believe that this reconciliation can have, however, the Government, which has very courageously a solution to the issue of universities and many other problems, needs visible signs of success as well as strong support, otherwise the threatened peace in the region as a whole.",4
2015,belief,so go ahead and process that for a while.,how about a link to that information?,
2012,MSRvid,A woman is playing the flute.,A man is playing a keyboard.,1
2012,surprise.OnWN,Unrestricted freedom to use something.,unrestricted freedom to use.,4.75
2014,OnWN,Allocate or dedicate, set aside or apart for a specific purpose or use.,set aside or apart for a specific purpose or use.
2012,MSRpar,Revenue rose to $616.5 million from $610.6 million a year earlier.,"Revenue was up a tad, from $610.6 million to $616.5 million.",4.4
2015,images,A skateboarder sliding on a rail.,A skateboarder doing a jump.,
2015,answers-forums,I would pull it out of the ground and replant.,Lettuce is finicky and prone to bolt due to the heat.,
2015,belief,this seems to be an election without a result.,this is war and people die in wars.,
2015,answers-students,bulb a affects bulb c,A and C are in the same closed path,
2015,answers-students,"""Energy flows through the path so if there""""s a gap, there""""s no energy""",If a bulb and a switch are in the same path the switch affects the bulb,
2015,answers-students,If the other bulb is no longer contained in a closed path with the battery,The damaged bulb and the other bulb must be contained in the same path,1.6
2012,surprise.SMTnews,Other ways are needed.,We must find other ways.,4.4
2015,headlines,Roadside bombs kill 5 in Afghanistan,Roadside bomb wounds provincial governor in northern Afghanistan,
2015,images,A child soccer player runs for a ball near the goal.,A young boy runs towards a blue soccer ball in front of a goal.,
2012,SMTeuroparl,"Selective aid, such as market support and a grass subsidy, are essential.",Specific aid as the market or the premium on grass are essential.,4.4
2014,headlines,Pak missions in UAE gear up for elections,Islamist parties in Egypt unite for elections,1.4
2012,MSRpar,"The decades-long conflict has killed more than 10,000 people in the resource-rich province, most of them civilians.","More than 10,000 people, most of them civilians, have been killed in three decades of insurgency.",4
2012,MSRpar,The mother also alleged in the lawsuit that she was sexually assaulted by one of the guards.,The mother also contended that she was sexually assaulted by one of the guards during the 1998 confrontation.,4
2014,OnWN,(Baseball) Tag the base runner to get him out.,tag the base runner to get him out.,4.6
2012,surprise.OnWN,(computer science) the occurence of an incorrect result produced by a computer.,(computer science) the occurrence of an incorrect result produced by a computer.,5
2015,answers-students,"When a switch, a battery, and a bulb are in a closed circuit.",When the switch and the bulb are contained in the same path,
2015,answers-forums,"""What I am really looking for is an estimation of the Muslim population..."" @ThanosK and @T.E.D., an overall, general population estimation f.e.",The following is taken from my dog-eared copy of the New Penguin Atlas of Medieval History.,0
2012,MSRvid,A man is eating food.,A man is eating something.,4.2
2015,belief,"they have ""no"" standards.",they have wisdom in their own way.,
2016,question-question,"What was the meaning of ""21 grams""?","What is the meaning of ""$N industry""?",0
2015,images,A deer is jumping over a fence.,A kid is jumping his bike over a fence.,
2012,SMTeuroparl,That provision could open the door wide to arbitrariness.,This regulation opens the door to arbitrariness.,4.25
2015,images,"A man eating an apple, sitting in public.",A man sits in a public place eating an apple.,5
2013,OnWN,tolerate, aceept or take on as a responsibility.,give surety or assume responsibility.
2012,surprise.SMTnews,"Gays and other ""modern"" practices are rejected as self-indulgent.",The gay and other ‘ modern ’ practices are rejected because nombrilistes.,3.5
2014,tweet-news,Greek FM: Small chance Greece leaves EU,Greek FM: Small chance of euro exit,4.6
2013,headlines,Palestinians: 2 Gaza militants killed in Israeli airstrike on coastal strip,Officials: Gaza man killed in Israeli airstrike (AP),3
2015,answers-students,bulb a and b are still contained in closed paths with the battery,"If C burns out, then A and B are still in a closed path with the battery.",
2015,images,a man walks two dogs on leashes down the street,A man walks two dogs in the city.,4.2
2013,headlines,Obama endorses same-sex marriage,Obama's delicate dance on same-sex marriage,2.6
2012,SMTeuroparl,"Selective aid, such as market support and a grass subsidy, are essential.",The occasional aid as the market or the grass is essential.,4.25
2015,images,a boy falls off his red bike.,A young boy falls off his bike.,
2015,answers-forums,"As he goes to get the food, you'll want to say your command.","Cats are hard to train, but not impossible, and a lot of is really tied to their natural interests.",
2015,answers-forums,"These are interesting studies, but the bottom line is: yes, environment affects cognitive abilities.","I'm not sure what you mean by cognitive capacity, but I absolutely believe that language shapes the way we think.",1.6
2012,MSRpar,"Paul Themba Nyathi, an MDC spokesman, said the Avenues Clinic was being targeted because it was treating opposition supporters.",MDC spokesperson Paul Themba Nyathi said the Avenues Clinic was targeted because it was handling opposition supporters.,4.6
2013,headlines,Facebook boosts size of IPO by 25pc to raise $15bn,Facebook boosts size of IPO by 25 percent,3.6
2012,SMTeuroparl,"One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.","One can indeed wish more and better, but I believe very honestly that it is a good start.",4.8
2012,SMTeuroparl,Amendment No 7 proposes certain changes in the references to paragraphs.,Amendment No 7 proposes certain changes in the references to paragraphs.,5
2015,headlines,6.6-magnitude quake hits South Atlantic Ocean -- USGS,Magnitude-5.1 quake hits southern Iran -- USGS,
2016,answer-answer,You don't have to know.,You don't have equipments/facilities to do research in B.,0
2013,OnWN,the act of sorting things into categories,the act of distributing things into classes or categories of the same type.,4.2
2014,tweet-news,"Driven by a need to compete or remorse?  Armstrong Admits Doping, and Says He Will Testify","Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials",3.4
2015,answers-forums,I have one Maine Coon but she does not do this behavior.,"Since we can't know what moves inside a cat's head, it will all be a theory only.",
2016,plagiarism,The vector space model are the documents which are represented as “bags of words”.,"In vector space model, the documents from which the information is to be retrieved are represented as vectors.",2
2016,headlines,Thousands cross Austria-Hungary border,Thousands of Russians stranded abroad,1
2012,MSRpar,Two officials initially said about 300 workers had been arrested at 61 stores in 21 states.,But the officials later revised the numbers and said about 250 had been arrested at some 60 stores.,2.4
2012,MSRpar,"Founded in 1996, the LendingTree exchange consists of more than 200 banks, lenders, and brokers.","LendingTree matches borrowers via the Internet with more than 200 mortgage brokers, banks and other lenders.",3.5
2014,tweet-news,#BREAKING: #Police clash with #protesters calling for dissolution of #Pakistan's government -,"Police, protesters clash in Pakistan",4
2015,answers-students,the positive battery terminak is separated ba a gap from terminal 4,Terminal 4 and the positive battery terminal are in the same electrical state,2.2
2015,belief,"oh my god, you really are a racist aren't you?",why do you hate america so much?,
2012,MSRvid,The girl flew her kite while she ran up a hill.,A girl loses her kite.,2.25
2015,images,A dog runs with a yellow toy in its mouth.,A dog swimming with a stick in it's mouth.,
2015,headlines,"Suicide bomb kills 4, injures 13 in Pakistan",Twitter blocks content in Pakistan,0
2015,answers-forums,Support is good for eggplants as the fruit may become heavy and can even break the branches.,"Some support won't hurt, especially if it is a large fruited variety.",2.4
2012,MSRpar,"Under the U.S. Constitution, the other chamber of Congress, the House of Representatives, does not vote on foreign alliances.","The U.S. House of Representatives, the other chamber of Congress, does not vote on treaties.",3.2
2012,MSRpar,"The world's largest software company said it recognized the difficulty the multiple patches posed for companies, and set out to make it easier for them to apply the updates.",The world's largest software company said it recognized the difficulty the multiple patches posed for companies trying to apply them.,3.5
2015,belief,"rex, i am a conservative,and you are an idiot.",i really want this sorted and not sure what else i can do.,
2015,images,A man in an orange shirt playing tennis.,a man wearing an orange U. Miami tee shirt playing tennis,
2012,MSRpar,Dynes came to UC San Diego in 1991 after 22 years as a physicist with AT&T Bell Labs.,"Dynes has been at UC San Diego since 1991 after spending 22 years with AT&T Bell Labs, where he worked on superconductors and other materials.",3.6
2012,SMTeuroparl,"The labelling of beef that was agreed on, which is a minimum form of labelling and only came into force two and a half months ago, does not make it possible for the origin of animals to be adequately traced, and we were very slow to ban specified risk materials.","The labelling of beef which has been decided, which is a minimum labelling and which has only been in force for two and a half months ago, does not properly to trace the origin of animals and we have banned rather belatedly specified risk material.",5
2012,surprise.SMTnews,None of this absolves rich countries of their responsibility to help.,This does not however absolve the rich countries of their obligation to help.,5
2015,answers-students,An open switch means the circuit is not a closed path.,the path is not closed,3
2013,FNWN,geography as defined by its use.,a place where work is done,
2015,belief,obamabots believe obama doesn't lie.,you got obama down pat.,
2015,answers-forums,Things like the Swadesh List are an attempt at a vocabulary list along the lines you are talking about.,I just read about a study on this which used a fascinating methodology.,
2014,tweet-news,Extreme weather: expect the unexpected,Extreme Weather Grows in Frequency and Intensity Around World,2.6
2015,headlines,"One dead in Philadelphia building collapse, others pulled from rubble",Six confirmed dead after Philadelphia building collapse,3.2
2012,MSRpar,"The broader Standard & Poor's 500 Index rose 3.42 points, or 0.34 percent, to 1,007.84.","The technology-laced Nasdaq Composite Index .IXIC was down 1.55 points, or 0.09 percent, at 1,744.91.",1
2016,question-question,How do I stop my dog from jumping on me?,How do I stop my dog from barking when I bring him outside?,2
2015,answers-students,the switch and the bulb are contained in the same path,"If bulb A burns out, bulbs B and C are still in a closed path",2.2
2012,MSRvid,A man is putting two paper towels on a paper plate.,A man is putting papers on a dish.,2.2
2015,answers-forums,"Of the bigger countries, New Zealand is the first to celebrate New Year.",You can see this in the Wikipedia list or on any map with the International Date Line.,
2015,headlines,Syria opposition pressed to attend talks,Syria opposition voices frustration with international backers,
2015,belief,"reassured us that, it is very normal for first time moms go over due dates and need inductions.","that lasted about six months until i found myself for the first time out of composure, calm, and ideas in the air.",
2015,headlines,North Korea says to restart nuclear reactor,North Korea Offers Talks: Complex May Re-Open,3.6
2013,OnWN,a celebrity or entertainer who attracts a large audience,an entertainer who attracts large audiences.,4.25
2015,images,A woman runs on the beach.,a dog runs across the land.,1.8
2013,headlines,President Mills must quit - Lecturer,President John Evans Atta-Mills Must Resign Now -NPP Germany,2.6
2015,answers-forums,"Since the risks and pitfalls of wire floors are largely mentioned, I'll mention pros...","Regardless of floor choice, remember that they need a burrow-like ""safe"" area to cope with stress.",
2013,OnWN,Rewrite in a different script.,extend in a different direction.,0.2
2015,images,A race car moves down the road as two people watch from a distance.,Silver and blue car marked 104 raises dust on road as two background people watch.,
2014,tweet-news,reflects on doctors who take time off & then start seeing patients again.,Doctor and Patient: When the Doctor Returns to Doctoring,3
2015,answers-students,a and b are still contained in a closed path with the battery.,"If C burns out, then A and B are still in a closed path with the battery.",
2015,images,A woman walks with a book while talking on a cell phone.,A woman wearing a blue coat walks and talks on her cellphone.,
2016,plagiarism,"When any sub-problem is met again, it can be found and re-used to solve another problem.",It was intended to allow existing code to be used again with minimal or no alteration.,2
2012,SMTeuroparl,"Without doubt, it was better to have no agreement at all than a poor one and it is true that, in this instance, the American proposal was a third-rate proposal, and one which was completely unacceptable to Europe.","Without doubt, was better to have no agreement only have an agreement that is bad and, in this case, the American proposal was a proposal to the rebate, totally unacceptable for Europe.",4.8
2015,headlines,Heartbreaking transcript reveals indecision as South Korea ferry sank,South Korea ferry: Transcript reveals evacuation panic,
2016,question-question,What is the difference between mono and stereo?,What is the difference between balls in Test and ODI Cricket?,0
2013,OnWN,take a risk or guess in hope of a favorable outcome,take a risk in the hope of a favorable outcome.,4.6
2013,OnWN,The act of talking about the features of something.,the act of projecting out from something.,1
2012,surprise.SMTnews,"But if Europe's performance continues to decline, would this perception survive?",But can this image survive a continuation of the decline?,3.75
2015,images,A man in jeans is playing with a ball while a woman in jeans stands nearby looking away.,A man is tying a red arm band around another mans arm in the street.,0
2016,question-question,What is the difference between a stock and a bond?,What is the difference between a mode and a scale?,0
2015,answers-forums,I've seen three common ways of funding staff - undoubtedly there are more.,Funding for non-research positions comes from either direct or indirect sources.,
2012,SMTeuroparl,"I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.","I insist on this point because the market cannot regulate all and that, accordingly, it does not have there nor cannot have there of competition without limits.",4.8
2015,belief,"well, sofia, it's exactly what c.i.","what's wrong, exactly, with what i'm doing?",
2015,answers-students,Voltage is the difference between a positive and negative end on the battery.,Terminal 1 and the positive terminal are separated by the gap,0.67
2012,SMTeuroparl,The vote will take place today at 5.30 p.m.,The vote will take place on 17: 30.,4.75
2015,headlines,US drone strike kills six in Pakistan officials,Drone strike kills dozen in Pakistan,
2012,surprise.OnWN,"a knapsack, bundle on the back",a bundle (especially one carried on the back).,4.75
2015,images,A young girl wearing glasses and an orange t-shirt blows a large clear bubble.,The young girl blows a huge bubble.,
2013,headlines,'Arrest warrant' for Maldives ex-president,Maldives court issues arrest warrant for former president,4.5
2012,SMTeuroparl,I am one of those Members who attends sittings quite faithfully.,I am one of the Members who are quite honourably here.,4.167
2013,OnWN,strive against another or others to attain a goal,compete for something, engage in a contest
2016,plagiarism,"When a document is represented as a vector, each dimension corresponds to a separate term.",The value of a vector is non-zero if a term occurs in the document.,1
2015,belief,was it as gruelling for them as i'm imagining?,as to what happened to their missing kid.,0.6
2015,answers-forums,"Yes, here is a quote from Star Wars: Episode I - The Phantom Menace script.","The novel I, Jedi touches on lightsabers, their construction, and their power.",
2012,MSRpar,The ADRs fell 10 cents to $28.95 at 10:06 a.m. in New York Stock Exchange composite trading today.,"Shares of Fox Entertainment Group Inc., News Corp.'s U.S. media and entertainment arm, fell 45 cents to $26.85 in New York Stock Exchange composite trading.",1.4
2015,images,Two skinny young boys playing with sand in the water.,Two dogs are shaking water off.,0.4
2015,belief,summer of 1967 becomes the national director of operation breadbasket.,1984 founds the national rainbow coalition.,
2015,belief,"in any case, the basis of the thread is still shot to hell.",he was the first speaker of the house in history to be fined.,
2015,belief,it simply covers the things we have been talking about.,quite simply because they're pissing on the graves of those who died.,
2014,deft-forum,". What is your definition of ""life force""?","What is your definition of ""soul""?",3.6
2013,OnWN,Express audibly, utter sounds (not necessarily words), indicate.
2015,answers-students,bulb c was not connected to the battery.,Bulb C was no longer in a closed path with the battery,4
2012,MSRvid,A chef is slicing carrot.,A person is drawing a picture.,0
2012,MSRpar,"Every Thursday, a grains management committee meets in the Commission's agriculture directorate to decide the outcome of a weekly export tender.",A grains management committee normally meets each Thursday in the Commission's agriculture unit -- another target of Wednesday's raids -- to decide the outcome of a weekly export tender.,3.6
2014,tweet-news,Saudis Monsters try to defend Sri Lankan maid's execution  #p2 #tcot,Saudis defend maid's beheading,4
2014,OnWN,the state of being in contact,the state of being excluded.,0
2013,OnWN,something considered trite but amusing,something recalled to the mind.,0.6
2012,MSRvid,A man is mowing grass.,A guy is mowing the lawn.,4.8
2012,MSRvid,A woman is taking a picture.,A man is playing a guitar.,0.25
2012,MSRpar,"""It was a final test before delivering the missile to the armed forces.",State radio said it was the last test before the missile was delivered to the armed forces.,4
2015,belief,"for the most part, i think the market should be allowed to set it's own price, but would agree that there does have to be a minimum wage of some kind.","he's an adult. he should be courteous to your home and keep it clean, but outside of that he should be able to come and go as he pleases.",
2015,answers-students,"there is a closed path, with switch z,  that contains bulb a and the battery","there is a path containing A, C, Z and the battery",3.2
2015,answers-students,The ppositive battery terminal is connected in terminal 6.,Terminal 6 and the positive terminal are connected,4.8
2015,headlines,Neymar powers Brazil into last 16,Neymar powers Brazil into World Cup last 16,4.4
2013,headlines,Blast kills 11 in northwestern Pakistan,Bomb Kills 19 In Northwest Pakistan,2.6
2015,headlines,NYPD Twitter Outreach Backfires Badly,NYPD's twitter campaign backfires,4.8
2016,answer-answer,I'm afraid we are out of luck in this one.,I think this is one of those things where you are just out of luck.,5
2014,tweet-news,An Alarm in the Offing on #ClimateChange      #ExtremeWeather #globalwarming #eco,An Alarm in the Offing on Climate Change,4.6
2015,belief,our nation as (they?),how long ago was this?,
2015,answers-students,the battery is  not contained in a closed path,The battery in 4 is not in a closed path,3.5
2015,belief,"• gordon brown has said that it is his ""duty"" to try to form a stable government.",in the past he has said that the party that wins should have first right to try to form a government.,
2016,headlines,Singapore shares open 0.83% higher on Wednesday,Singapore shares open 0.06% lower on Tuesday,1
2015,answers-forums,"In German, the term ""Nahost"" or ""Naher Osten"" (near East) are in common use.","The term Far East usually refers to East Asia, including Mongolia, China, Korea, Japan, and Southeast Asia.",
